model,n,execution_correct_rate,sql_executable_rate,answer_found_rate,format_rate,tool_called_rate,protocol_valid_rate,tool_error_rate,tool_call_count_mean
reward_v8_step32_locked,417,0.5203836930455635,0.8105515587529976,0.8585131894484412,0.8585131894484412,1,0.9832134292565947,0.18944844124700239,4.069544364508393
reward_v9_step20,417,0.5107913669064749,0.8249400479616307,0.9712230215827338,0.9712230215827338,1,0.9928057553956835,0.18944844124700239,4.091127098321343
reward_v9_step24,417,0.4988009592326139,0.8105515587529976,0.9688249400479616,0.9688249400479616,1,0.988009592326139,0.2038369304556355,4.155875299760192
