model,score_mean,execution_correct_rate,sql_executable_rate,executable_but_wrong_rate,final_matches_successful_execute_rate,tool_error_rate,average_tool_calls
reward_v5_step48_baseline,0.36040367705835336,0.38609112709832133,0.8177458033573142,0.4316546762589928,0.7985611510791367,0.18465227817745802,2.997601918465228
reward_v6_step24,0.35189122987324434,0.3645083932853717,0.8848920863309353,0.5203836930455635,0.8513189448441247,0.1366906474820144,3.0
